Sadness,Anxious,Peer Pressure,Sleep Quality,AI Tools,Family Stress,Financial Satisfaction,Friends Support,Resources Access,Home Stress,Commute Stress,Noise Level,Weather Conditions,Program Confidence,Academic Stress,Advisor Support,Stress Level
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Always,Always,Always,Never,Always,Always,Very Dissatisfied,Strongly Disagree,Very Poor,Strongly Agree,Extremely,Very Disturbing,Strongly Agree,No,Extremely,Not at all,5
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Rarely,Rarely,Rarely,Often,Sometimes,Rarely,Satisfied,Agree,Good,Disagree,A little,Manageable,Disagree,Yes,A little,Very Much,2
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
Never,Never,Never,Always,Rarely,Never,Very Satisfied,Strongly Agree,Excellent,Strongly Disagree,Not at all,Very Manageable,Strongly Disagree,Yes,Not at all,Completely,1
Often,Often,Often,Rarely,Always,Often,Dissatisfied,Disagree,Poor,Agree,Significantly,Disturbing,Agree,No,Significantly,Somewhat,4
Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neutral,Neutral,Adequate,Neutral,Moderately,Neutral,Neutral,No,Moderately,Moderately,3
